GENE_SYMBOL	NAME	COSMIC_GENE_ID	CHROMOSOME	GENOME_START	GENOME_STOP	CHR_BAND	SOMATIC	GERMLINE	TUMOUR_TYPES_SOMATIC	TUMOUR_TYPES_GERMLINE	CANCER_SYNDROME	TISSUE_TYPE	MOLECULAR_GENETICS	ROLE_IN_CANCER	MUTATION_TYPES	TRANSLOCATION_PARTNER	OTHER_GERMLINE_MUT	OTHER_SYNDROME	TIER	SYNONYMS
HSP90AB1	heat shock protein 90 alpha family class B member 1	COSG18859	6	44214824	44221620	6p21.1	y	n	NHL			L	Dom	fusion	T	BCL6	n		1	HSP90AB1,ENSG00000096384.15,P08238,3326
ID3	inhibitor of DNA binding 3, HLH protein	COSG37797	1	23884409	23886285	1p36.12	y	n	Burkitt lymphoma			L		TSG	Mis, N		n		2	ID3,ENSG00000117318.8,Q02535,3399,HEIR-1,bHLHb25
IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	COSG48312	2	209100951	209130798	2q34	y	n	glioblastoma			O	Dom	oncogene	Mis		n		1	IDH1,ENSG00000138413.9,O75874,3417
IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	COSG44746	15	90626277	90645736	15q26.1	y	n	glioblastoma			O	Dom	oncogene	Mis		n		1	IDH2,ENSG00000182054.5,P48735,3418
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	COSG42648	3	185361527	185542844	3q27.2	y	n	lymphoma			L		TSG	D		y	Diabetes mellitus, noninsulin-dependent, susceptibility	2	IGF2BP2,ENSG00000073792.11,Q9Y6M1,10644,IMP-2
IGH	immunoglobulin heavy locus	COSG57774	14			14q32.33	y	n	MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS			L	Dom	fusion	T	MYC, FGFR3, PAX5, FCRL4, IRF4, CCND1, BCL9, BCL8, BCL6, BCL2, BCL3, BCL10, BCL11A. LHX4, DDX6, NFKB2, PAFAH1B2, PCSK7, CRLF2	n		1	IGH,3492
IGK	immunoglobulin kappa locus	COSG57775	2			2p12	y	n	Burkitt lymphoma, B-NHL			L	Dom	fusion	T	MYC, KDSR	n		1	IGK,50802
IGL	immunoglobulin lambda locus	COSG57776	22			22q11.2	y	n	Burkitt lymphoma			L	Dom	fusion	T	BCL9, MYC, CCND2	n		1	IGL,3535
IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	COSG27957	8	42128820	42189973	8p11.21	y	n	SMZL			L	Dom	oncogene	Mis		y	Immunodeficiency 15	1	IKBKB,ENSG00000104365.9,O14920,3551,IKK-beta,IKK2,IKKB,NFKBIKB
IKZF1	IKAROS family zinc finger 1	COSG52224	7	50343720	50472799	7p12.2	y	n	ALL, DLBCL			L	Dom/Rec	TSG, fusion	D,T	BCL6	n		1	IKZF1,ENSG00000185811.12,Q13422,10320,Hs.54452,IKAROS,LyF-1,PPP1R92,hIk-1
IKZF3	IKAROS family zinc finger 3	COSG51139	17	37921198	38020441	17q12	y	n	B-ALL, CLL, breast cancer, colorectal cancer			L, E		oncogene, TSG, fusion	D, Mis, F, N, T	NAGLU, VAPB	n		1	IKZF3,ENSG00000161405.12,Q9UKT9,22806,Aiolos
IL2	interleukin 2	COSG12869	4	123372625	123377880	4q27	y	n	intestinal T-cell lymphoma			L	Dom	fusion	T	TNFRSF17	n		1	IL2,ENSG00000109471.4,P60568,3558,IL-2,TCGF
IL21R	interleukin 21 receptor	COSG26843	16	27413483	27462115	16p12.1	y	n	NHL			L	Dom	fusion	T	BCL6	n		1	IL21R,ENSG00000103522.11,Q9HBE5,50615,CD360
IL6ST	interleukin 6 signal transducer	COSG39042	5	55230923	55290821	5q11.2	y	n	hepatocellular carcinoma			E	Dom	oncogene	O		n		1	IL6ST,ENSG00000134352.15,P40189,3572,CD130,GP130
IL7R	interleukin 7 receptor	COSG31865	5	35852797	35879705	5p13.2	y	n	ALL, ETP ALL			L	Dom	oncogene	Mis, O		y	Severe combined immune deficiency	1	IL7R,ENSG00000168685.10,P16871,3575,CD127,IL7RA
IRF4	interferon regulatory factor 4	COSG5337	6	391739	411447	6p25.3	y	n	MM			L	Dom	oncogene, TSG, fusion	T	IGH	n		1	IRF4,ENSG00000137265.10,Q15306,3662,LSIRF
IRS4	insulin receptor substrate 4	COSG39120	X	107975712	107979651	Xq22.3	y	n	glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL			E, O, M, L		oncogene, TSG	Mis, F, T	TRB	n		1	IRS4,ENSG00000133124.10,O14654,8471,IRS-4,PY160
ISX	intestine specific homeobox	COSG8313	22	35462129	35483380	22q12.3	y	n	melanoma			E			Mis		n		2	ISX,ENSG00000175329.8,Q2M1V0,91464,RAXLX
ITGAV	integrin subunit alpha V	COSG50965	2	187454792	187545628	2q32.1	y	n	large intestine carcinoma			E			F		n		2	ITGAV,ENSG00000138448.7,P06756,3685,CD51
ITGB1	integrin subunit beta 1	COSG23937	10	33189247	33294720	10p11.22	y	n	cutaneous melanoma, lung adenocarcinoma			O, E			Mis, N		n		2	ITGB1,ENSG00000150093.14,P05556,3688,CD29,GPIIA
ITK	IL2 inducible T cell kinase	COSG20670	5	156569944	156682201	5q33.3	y	n	peripheral T-cell lymphoma			L	Dom	fusion	T	SYK	n		1	ITK,ENSG00000113263.8,Q08881,3702,EMT,LYK,PSCTK2
JAK1	Janus kinase 1	COSG1232	1	65298912	65432187	1p31.3	y	n	ALL			L	Dom	oncogene, TSG	Mis		n		1	JAK1,ENSG00000162434.7,P23458,3716,JAK1A,JTK3
JAK2	Janus kinase 2	COSG10049	9	4985033	5128183	9p24.1	y	n	ALL, AML, MPN,  CML			L	Dom	oncogene, fusion	T, Mis, O	ETV6, PCM1, BCR	n		1	JAK2,ENSG00000096968.8,O60674,3717,JTK10
JAK3	Janus kinase 3	COSG50617	19	17935589	17958880	19p13.11	y	n	acute megakaryocytic leukaemia, ETP ALL			L	Dom	oncogene	Mis		n		1	JAK3,ENSG00000105639.14,P52333,3718,JAK-3,JAK3_HUMAN,JAKL,L-JAK,LJAK
JAZF1	JAZF zinc finger 1	COSG5253	7	27870192	28220362	7p15.2	y	n	endometrial stromal tumour			M	Dom	fusion	T	SUZ12	n		2	JAZF1,ENSG00000153814.7,Q86VZ6,221895,DKFZp761K2222,TIP27,ZNF802
JUN	Jun proto-oncogene, AP-1 transcription factor subunit	COSG32601	1	59246465	59249785	1p32.1	y	n	sarcoma			M	Dom	oncogene	A		n		1	JUN,ENSG00000177606.5,P05412,3725,AP-1,c-Jun
KAT6A	lysine acetyltransferase 6A	COSG21056	8	41786997	41909508	8p11.21	y	n	AML			L	Dom	oncogene, fusion	T, A	CREBBP, NCOA2, EP300	n		1	KAT6A,ENSG00000083168.5,Q92794,7994,MOZ,ZC2HC6A
KAT6B	lysine acetyltransferase 6B	COSG15002	10	76585340	76792380	10q22.2	y	n	AML, leiomyoma			L, M	Dom	TSG, fusion	T	CREBBP, KANSL1	n	Genitopatellar syndrome, Say-Barber-Biesecker/Young-Simpson syndrome	1	KAT6B,ENSG00000156650.8,Q8WYB5,23522,MOZ2,Morf,ZC2HC6B,qkf,querkopf
KAT7	lysine acetyltransferase 7	COSG36831	17	47865917	47906458	17q21.33	y	n	CCRCC			E		oncogene	Mis		n		2	KAT7,ENSG00000136504.7,O95251,11143,HBO1,HBOA,ZC2HC7
KCNJ5	potassium voltage-gated channel subfamily J member 5	COSG2562	11	128761251	128790930	11q24.3	y	n	adrenal adenoma			E	Dom	oncogene	Mis		y	Familial hyperaldosteronism type III, Long QT syndrome	1	KCNJ5,ENSG00000120457.7,P48544,3762,CIR,GIRK4,KATP1,Kir3.4,LQT13
KDM5A	lysine demethylase 5A	COSG28172	12	389295	498620	12p13.33	y	n	AML			L	Dom	oncogene, fusion	T	NUP98	n		1	KDM5A,ENSG00000073614.7,P29375,5927
KDM5C	lysine demethylase 5C	COSG46591	X	53220503	53254604	Xp11.22	y	n	clear cell renal carcinoma			E	Rec	TSG	N, F, S, Mis		y	 X-linked mental retardation syndromic Claes-Jensen-type.	1	KDM5C,ENSG00000126012.7,P41229,8242,DXS1272E,XE169
KDM6A	lysine demethylase 6A	COSG42867	X	44732757	44971847	Xp11.3	y	n	renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types			E, L	Rec	oncogene, TSG	D, N, F, S		y	Kabuki syndrome	1	KDM6A,ENSG00000147050.10,O15550,7403
KDR	kinase insert domain receptor	COSG19857	4	55944644	55991756	4q12	y	y	NSCLC, angiosarcoma	melanoma		E	Dom	oncogene	Mis		n		1	KDR,ENSG00000128052.8,P35968,3791,CD309,FLK1,VEGFR,VEGFR2
KDSR	3-ketodihydrosphingosine reductase	COSG37772	18	60994959	61034743	18q21.33	y	n	B-NHL			L	Dom	fusion	T	IGK	n		1	KDSR,ENSG00000119537.11,Q06136,2531,DHSR,SDR35C1
KEAP1	kelch like ECH associated protein 1	COSG14511	19	10596796	10614417	19p13.2	y	n	NSCLC, breast carcinoma			E		TSG	Mis, N, F		n		1	KEAP1,ENSG00000079999.9,Q14145,9817,INrf2,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454
KIAA1549	KIAA1549	COSG20458	7	138516126	138666064	7q34	y	n	pilocytic astrocytoma			O	Dom	fusion	T	BRAF	n		2	KIAA1549,ENSG00000122778.5,Q9HCM3,57670
KIF5B	kinesin family member 5B	COSG11670	10	32297938	32345359	10p11.22	y	n	NSCLC, Spitzoid tumour			E	Dom	fusion	T	RET, ALK	n		1	KIF5B,ENSG00000170759.10,P33176,3799,KNS
KIT	KIT proto-oncogene receptor tyrosine kinase	COSG30790	4	55524085	55606881	4q12	y	y	GIST, AML, TGCT, mastocytosis, mucosal melanoma	GIST, epithelioma	familial gastrointestinal stromal tumour	L, M, O, E	Dom	oncogene	Mis, O		y	Piebald trait	1	KIT,ENSG00000157404.11,P10721,3815,C-Kit,CD117,SCFR
KLF4	Kruppel like factor 4	COSG26457	9	110247133	110252763	9q31.2	y	n	meningioma			O	Dom	oncogene, TSG	Mis		n		1	KLF4,ENSG00000136826.10,O43474,9314,EZF,GKLF
KLF6	Kruppel like factor 6	COSG45151	10	3818188	3827473	10p15.1	y	n	prostate, glioma			E, O	Rec	TSG	Mis, N		n		1	KLF6,ENSG00000067082.10,Q99612,1316,CPBP,GBF,PAC1,Zf9
KLK2	kallikrein related peptidase 2	COSG40773	19	51364824	51383823	19q13.33	y	n	prostate			E	Dom	fusion	T	ETV4	n		1	KLK2,ENSG00000167751.8,P20151,3817
KMT2A	lysine methyltransferase 2A	COSG41762	11	118307205	118397539	11q23.3	y	n	AML, ALL			L	Dom	oncogene, fusion	T, O	KMT2A, MLLT1, AFF1, MLLT3, MLLT4, FOXO4, MLLT10, MLLT6, ELL, EPS15, MLLT11, CREBBP, SH3GL1, FNBP1, SEPT5, SEPT9, GPHN, GMPS, ABI1, ARHGEF12, GAS7, FOXO3, AFF3, TET1, SEPT6, LPP, RUNX1T1, ARHGAP26, EP300, PICALM, CLP1, PRRC1, DAB2IP, MAPRE1, KIAA1524, SEPT2, SARNP, ZFYVE19, TOP3A, CASC5, EEFSEC, FRYL, SORBS2, ABI2, LASP1, CASP8AP2, AFF4, NRIP3, NCKIPSD, CBL, ACTN4, PDS5A, CT45A2, MYO1F, KIAA0284, BTBD18	n		1	KMT2A,ENSG00000118058.16,Q03164,4297,ALL-1,CXXC7,HRX,HTRX1,MLL1A,TRX1
KMT2C	lysine methyltransferase 2C	COSG53044	7	151832010	152133090	7q36.1	y	n	medulloblastoma			O	Rec	TSG	N		n		1	KMT2C,ENSG00000055609.13,Q8NEZ4,58508,HALR,KIAA1506
KMT2D	lysine methyltransferase 2D	COSG40594	12	49412758	49453557	12q13.12	y	n	medulloblastoma, renal			O, E	Rec	oncogene, TSG	N, F, Mis		n		1	KMT2D,ENSG00000167548.10,O14686,8085,ALR,CAGL114,MLL4
KNL1	kinetochore scaffold 1	COSG24364	15	40886218	40956540	15q15.1	y	n	AML			L	Dom	TSG, fusion	T	KMT2A	n		1	KNL1,ENSG00000137812.15,Q8NG31,57082,AF15Q14,CT29,D40,KIAA1570,PPP1R55,Spc7,hKNL-1,hSpc105
KNSTRN	kinetochore localized astrin (SPAG5) binding protein	COSG49881	15	40674922	40686447	15q15.1	y	n	SCC			E		oncogene	Mis		n		2	KNSTRN,ENSG00000128944.9,Q9Y448,90417,FLJ14502,SKAP,TRAF4AF1,kinastrin
KRAS	KRAS proto-oncogene, GTPase	COSG32146	12	25357723	25403870	12p12.1	y	n	pancreatic, colorectal, lung, thyroid, AML, other tumour types			L, E, M, O	Dom	oncogene	Mis		n		1	KRAS,ENSG00000133703.7,P01116,3845,KRAS1
KTN1	kinectin 1	COSG23571	14	56025790	56168244	14q22.3	y	n	papillary thyroid			E	Dom	fusion	T	RET	n		1	KTN1,ENSG00000126777.13,Q86UP2,3895,CG1,KIAA0004,KNT
LARP4B	La ribonucleoprotein domain family member 4B	COSG36764	10	855484	977564	10p15.3	y	n	CRC, glioma			E, O		TSG	F, D		n		2	LARP4B,ENSG00000107929.10,Q92615,23185
LASP1	LIM and SH3 protein 1	COSG37963	17	37026112	37078023	17q12	y	n	AML			L	Dom	fusion	T	KMT2A	n		1	LASP1,ENSG00000002834.13,Q14847,3927,Lasp-1,MLN50
LATS1	large tumor suppressor kinase 1	COSG47903	6	149979289	150039392	6q25.1	y	n	skin basal cell carcinoma			E		TSG	Mis, N		n		1	LATS1,ENSG00000131023.8,O95835,9113,WARTS
LATS2	large tumor suppressor kinase 2	COSG18531	13	21547171	21635686	13q12.11	y	n	malignant mesothelioma			E		TSG	D, F, N		n		1	LATS2,ENSG00000150457.7,Q9NRM7,26524
LCK	LCK proto-oncogene, Src family tyrosine kinase	COSG28892	1	32716840	32751766	1p35.1	y	n	T-ALL			L	Dom	oncogene, fusion	T	TRB	n		1	LCK,ENSG00000182866.12,P06239,3932
LCP1	lymphocyte cytosolic protein 1	COSG36137	13	46700055	46786006	13q14.13	y	n	NHL			L	Dom	fusion	T	BCL6	n		2	LCP1,ENSG00000136167.9,P13796,3936,CP64,L-PLASTIN,LC64P,PLS2
LEF1	lymphoid enhancer binding factor 1	COSG12288	4	108968701	109090112	4q25	y	n	B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas			L, E		oncogene, TSG	Mis, N		n		1	LEF1,ENSG00000138795.5,Q9UJU2,51176,TCF10,TCF1ALPHA,TCF7L3
LEPROTL1	leptin receptor overlapping transcript like 1	COSG26670	8	29952914	30034724	8p12	y	n	lung cancer, colon cancer			E		TSG	D		n		2	LEPROTL1,ENSG00000104660.13,O95214,23484,Vps55,my047
LHFPL6	LHFPL tetraspan subfamily member 6	COSG23484	13	39917029	40177665	13q14.11	y	n	lipoma			M	Dom	fusion	T	HMGA2	n		2	LHFPL6,ENSG00000183722.7,Q9Y693,10186,MGC22429
LIFR	LIF receptor alpha	COSG11797	5	38475065	38608456	5p13.1	y	n	salivary adenoma			E	Dom	fusion	T	PLAG1	n		1	LIFR,ENSG00000113594.5,P42702,3977,CD118
LMNA	lamin A/C	COSG35421	1	156052364	156109880	1q22	y	n	Spitzoid tumour			E	Dom	fusion	T	NTRK1	y	Muscular dystrophy, dilated cardiomyopathy,  familial partial lipodystrophy, and others	1	LMNA,ENSG00000160789.15,P02545,4000,HGPS,MADA
LMO1	LIM domain only 1	COSG8567	11	8245851	8290263	11p15.4	y	n	T-ALL			L	Dom	oncogene, fusion	T	TRD	n		1	LMO1,ENSG00000166407.9,P25800,4004,RHOM1,TTG1
LMO2	LIM domain only 2	COSG27079	11	33880122	33913836	11p13	y	n	T-ALL			L	Dom	oncogene, fusion	T	TRD	n		1	LMO2,ENSG00000135363.7,P25791,4005,RBTN2,RHOM2,TTG2
LPP	LIM domain containing preferred translocation partner in lipoma	COSG11819	3	187871072	188608460	3q28	y	n	lipoma, leukaemia			L, M	Dom	oncogene, fusion	T	HMGA2, KMT2A, C12orf9	n		1	LPP,ENSG00000145012.8,Q93052,4026
LRIG3	leucine rich repeats and immunoglobulin like domains 3	COSG2324	12	59265931	59314303	12q14.1	y	n	NSCLC			E	Dom	TSG, fusion	T	ROS1	n		1	LRIG3,ENSG00000139263.7,Q6UXM1,121227,FLJ90440,KIAA3016
LRP1B	LDL receptor related protein 1B	COSG56761	2	140988992	142889270	2q22.2	y	n	CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer			E, L	Rec	TSG	D, Mis, N, F		n		1	LRP1B,ENSG00000168702.12,Q9NZR2,53353,LRP-DIT,LRPDIT
LSM14A	LSM14A, mRNA processing body assembly factor	COSG22302	19	34663409	34720420	19q13.11	y	n	Spitzoid tumour			E	Dom	fusion	T	BRAF	n		2	LSM14A,ENSG00000257103.4,Q8ND56,26065,DKFZP434D1335,RAP55,RAP55A
LYL1	LYL1, basic helix-loop-helix family member	COSG3946	19	13209847	13213975	19p13.2	y	n	T-ALL			L	Dom	oncogene, fusion	T	TRB	n		1	LYL1,ENSG00000104903.4,P12980,4066,bHLHa18
LYN	LYN proto-oncogene, Src family tyrosine kinase	COSG53530	8	56792372	56923940	8q12.1	y	n	DLBCL, B-ALL, MPN			L		oncogene, fusion	Mis, T	ETV6, GATAD2A, NCOR1	n		2	LYN,ENSG00000254087.3,P07948,4067,JTK8
LZTR1	leucine zipper like transcription regulator 1	COSG28416	22	21333751	21353327	22q11.21	y	y	glioblastoma	glioblastoma, schwannoma	Schwannomatosis-2	E	Dom	TSG	Mis, F, N		y	Noonan syndrome 10	1	LZTR1,ENSG00000099949.14,Q8N653,8216,BTBD29,LZTR-1
MACC1	MET transcriptional regulator MACC1	COSG40067	7	20174278	20257027	7p21.1	y	n	liver, CRC			E		oncogene	Mis		n		2	MACC1,ENSG00000183742.8,Q6ZN28,346389,7A5,SH3BP4L
MAF	MAF bZIP transcription factor	COSG53681	16	79619740	79634611	16q23.2	y	n	MM			L	Dom	oncogene, fusion	T	IGH	n		1	MAF,ENSG00000178573.6,O75444,4094,c-MAF
MAFB	MAF bZIP transcription factor B	COSG18570	20	39314488	39317880	20q12	y	n	MM			L	Dom	oncogene, fusion	T	IGH	n		1	MAFB,ENSG00000204103.2,Q9Y5Q3,9935
MALAT1	metastasis associated lung adenocarcinoma transcript 1	COSG28513	11	65265233	65273940	11q13.1	y	n	renal cell carcinoma (childhood epithelioid), lung			E	Dom	oncogene, TSG, fusion	T	TFEB	n		2	MALAT1,ENSG00000251562.3,378938,HCN,LINC00047,MALAT-1,NCRNA00047,NEAT2,PRO1073,mascRNA
MALT1	MALT1 paracaspase	COSG37362	18	56338618	56417371	18q21.32	y	n	MALT			L	Dom	oncogene, fusion	T	BIRC3	n		1	MALT1,ENSG00000172175.8,Q9UDY8,10892,PCASP1
MAML2	mastermind like transcriptional coactivator 2	COSG56517	11	95709762	96076344	11q21	y	n	salivary gland mucoepidermoid			E	Dom	oncogene, fusion	T	CRTC3, CRTC1	n		1	MAML2,ENSG00000184384.9,Q8IZL2,84441,KIAA1819,MAM3
MAP2K1	mitogen-activated protein kinase kinase 1	COSG33031	15	66679155	66784650	15q22.31	y	n	NSCLC, melanoma, colorectal			E	Dom	oncogene	Mis		y	Cardiofaciocutaneous syndrome	1	MAP2K1,ENSG00000169032.5,Q02750,5604,MAPKK1,MEK1
MAP2K2	mitogen-activated protein kinase kinase 2	COSG47370	19	4090319	4124126	19p13.3	y	n	NSCLC, melanoma			E	Dom	oncogene	Mis		y	Cardiofaciocutaneous syndrome	1	MAP2K2,ENSG00000126934.9,P36507,5605,MEK2
MAP2K4	mitogen-activated protein kinase kinase 4	COSG36475	17	11924141	12047147	17p12	y	n	pancreatic, breast, colorectal			E	Rec	oncogene, TSG	D, Mis, N		n		1	MAP2K4,ENSG00000065559.10,P45985,6416,JNKK1,MEK4,MKK4,PRKMK4
MAP3K1	mitogen-activated protein kinase kinase kinase 1	COSG15634	5	56111401	56191979	5q11.2	y	n	luminal A breast			E	Rec	oncogene, TSG	N, F, Mis, O, S		y	46,XY sex reversal 6	1	MAP3K1,ENSG00000095015.5,Q13233,4214,MAPKKK1,MEKK
MAP3K13	mitogen-activated protein kinase kinase kinase 13	COSG51326	3	185000729	185206885	3q27.2	y	n	breast			E	Rec	oncogene, TSG	F		n		1	MAP3K13,ENSG00000073803.9,O43283,9175,LZK,MEKK13
MAPK1	mitogen-activated protein kinase 1	COSG21245	22	22108789	22221970	22q11.22	y	n	CLL, ovarian mixed germ cell tumour, cervical carcinoma			E, L	Dom	oncogene	Mis		n		1	MAPK1,ENSG00000100030.10,P28482,5594,ERK,ERK2,MAPK2,p41mapk
MAX	MYC associated factor X	COSG14969	14	65472892	65569413	14q23.3	y	y	pheochromocytoma, endometrioid carcinoma, colon carcinoma	pheochromocytoma		E, O	Rec	TSG	Mis, N, F		n		1	MAX,ENSG00000125952.14,P61244,4149,bHLHd4,bHLHd5,bHLHd6,bHLHd7,bHLHd8
MB21D2	Mab-21 domain containing 2	COSG51997	3	192514604	192635950	3q29	y	n	lung cancer			E			Mis		n		2	MB21D2,ENSG00000180611.6,Q8IYB1,151963
MDM2	MDM2 proto-oncogene	COSG3712	12	69201956	69239214	12q15	y	n	sarcoma, glioma, colorectal, other tumour types			M, O, E, L	Dom	oncogene	A		n		1	MDM2,ENSG00000135679.17,Q00987,4193,HDM2,MGC5370
MDM4	MDM4, p53 regulator	COSG25953	1	204485511	204542871	1q32.1	y	n	glioblastoma, bladder, retinoblastoma			M	Dom	oncogene	A		n		1	MDM4,ENSG00000198625.8,O15151,4194,HDMX,MDMX
MDS2	myelodysplastic syndrome 2 translocation associated	COSG14637	1	23907985	23967058	1p36.11	y	n	MDS			L	Dom	fusion	T	ETV6	n		2	MDS2,ENSG00000197880.4,Q8NDY4,
MECOM	MDS1 and EVI1 complex locus	COSG6655	3	168801287	169381406	3q26.2	y	n	AML, CML, MDS			L	Dom	oncogene, fusion	T	RUNX1, ETV6, PRDM16, RPN1	n		1	MECOM,ENSG00000085276.13,Q03112,2122,KMT8E,MDS1-EVI1,PRDM3
MED12	mediator complex subunit 12	COSG31624	X	70338406	70362303	Xq13.1	y	n	uterine leiomyoma, fibroadenoma, phyllodes tumour			M, E	Dom	TSG	Mis, S, O		y	Opitz-Kaveggia Syndrome	1	MED12,ENSG00000184634.11,Q93074,9968,CAGH45,HOPA,KIAA0192,OKS,OPA1,TRAP230
MEN1	menin 1	COSG11707	11	64570982	64578766	11q13.1	y	y	parathyroid tumours, pancreatic neuroendocrine tumour	parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid	multiple endocrine neoplasia type 1	E	Rec	TSG	D, Mis, N, F, S		n		1	MEN1,ENSG00000133895.10,O00255,4221
MET	MET proto-oncogene, receptor tyrosine kinase	COSG20371	7	116312444	116438440	7q31.2	y	n	papillary renal, head-neck squamous cell	papillary renal	familial papillary renal cancer	E	Dom	oncogene	Mis		n		1	MET,ENSG00000105976.10,P08581,4233,DFNB97,HGFR,RCCP2
MGMT	O-6-methylguanine-DNA methyltransferase	COSG6688	10	131265448	131566271	10q26.3	y	n	glioma			O		TSG	D		n		2	MGMT,ENSG00000170430.9,P16455,4255
MITF	melanocyte inducing transcription factor	COSG30132	3	69788586	70017488	3p14.1	y	y	melanoma, clear cell tumour with melanocytic differentiation, cutaneous clear cell tumour with melanocytic differentiation	melanoma		O, M	Dom	oncogene, fusion	A, T	ACTB, ACTG1, CREM	y	Waardenburg syndrome type 2A, Tietz syndrome	1	MITF,ENSG00000187098.10,O75030,4286,MI,bHLHe32
MLF1	myeloid leukemia factor 1	COSG2544	3	158288952	158325041	3q25.32	y	n	AML			L	Dom	TSG, fusion	T	NPM1	n		1	MLF1,ENSG00000178053.13,P58340,4291
MLH1	mutL homolog 1	COSG21798	3	37034823	37107380	3p22.2	y	y	colorectal, endometrial, ovarian, CNS tumours	colorectal, endometrial, ovarian, CNS	hereditary non-polyposis colorectal cancer, Turcot syndrome	E, O	Rec	TSG	D, Mis, N, F, S		n		1	MLH1,ENSG00000076242.10,P40692,4292,FCC2,HNPCC,HNPCC2
MLLT1	MLLT1, super elongation complex subunit	COSG54925	19	6212966	6279959	19p13.3	y	n	AL			L	Dom	fusion	T	KMT2A	n		1	MLLT1,ENSG00000130382.7,Q03111,4298,ENL,LTG19,YEATS1
MLLT10	MLLT10, histone lysine methyltransferase DOT1L cofactor	COSG28525	10	21823094	22032559	10p12.31	y	n	AL			L	Dom	oncogene, fusion	T	KMT2A, PICALM, CDK6	n		1	MLLT10,ENSG00000078403.12,P55197,8028,AF10
MLLT11	MLLT11, transcription factor 7 cofactor	COSG3744	1	151030234	151040970	1q21.3	y	n	ALL			L	Dom	fusion	T	KMT2A	n		1	MLLT11,ENSG00000213190.2,Q13015,10962,AF1Q
MLLT3	MLLT3, super elongation complex subunit	COSG31190	9	20341663	20622542	9p21.3	y	n	ALL			L	Dom	fusion	T	KMT2A	n		1	MLLT3,ENSG00000171843.11,P42568,4300,AF-9,AF9,YEATS3
MLLT6	MLLT6, PHD finger containing	COSG41955	17	36861795	36886056	17q12	y	n	AL			L	Dom	fusion	T	KMT2A	n		1	MLLT6,ENSG00000108292.12,P55198,4302,AF17,FLJ23480
MN1	MN1 proto-oncogene, transcriptional regulator	COSG34664	22	28144265	28197486	22q12.1	y	n	AML, MDS			L	Dom	oncogene, fusion	T	ETV6	n		1	MN1,ENSG00000169184.5,Q10571,4330,MGCR1,MGCR1-PEN
MNX1	motor neuron and pancreas homeobox 1	COSG5469	7	156786745	156803345	7q36.3	y	n	AML			L	Dom	fusion	T	ETV6	y	Currarino syndrome	2	MNX1,ENSG00000130675.10,P50219,3110,HB9,HOXHB9,SCRA1
MPL	MPL proto-oncogene, thrombopoietin receptor	COSG23605	1	43803478	43818443	1p34.2	y	y	MPN	MPN	familial essential thrombocythemia	L	Dom	oncogene	Mis		y	Congenital amegakaryocytic thrombocytopenia	1	MPL,ENSG00000117400.10,P40238,4352,CD110,TPOR
MRTFA	myocardin related transcription factor A	COSG6302	22	40806285	41032706	22q13.2	y	n	acute megakaryocytic leukaemia			L	Dom	oncogene, TSG, fusion	T	RBM15	n		1	MRTFA,ENSG00000196588.10,Q969V6,57591,BSAC,KIAA1438,MAL,MKL,MRTF-A
MSH2	mutS homolog 2	COSG53665	2	47630108	47789450	2p21	y	y	colorectal, endometrial, ovarian	colorectal, endometrial, ovarian	hereditary non-polyposis colorectal cancer	E	Rec	TSG	D, Mis, N, F, S		n		1	MSH2,ENSG00000095002.8,P43246,4436,HNPCC,HNPCC1
MSH6	mutS homolog 6	COSG52706	2	47922669	48037240	2p16.3	y	y	colorectal	colorectal, endometrial, ovarian	hereditary non-polyposis colorectal cancer	E	Rec	TSG	Mis, N, F, S		n		1	MSH6,ENSG00000116062.10,P52701,2956
MSI2	musashi RNA binding protein 2	COSG40478	17	55333212	55762046	17q22	y	n	CML			L	Dom	oncogene, fusion	T	HOXA9	n		1	MSI2,ENSG00000153944.6,Q96DH6,124540
MSN	moesin	COSG4112	X	64808257	64961791	Xq12	y	n	ALCL			L	Dom	fusion	T	ALK	n		1	MSN,ENSG00000147065.12,P26038,4478
MTCP1	mature T cell proliferation 1	COSG4019	X	154289897	154376212	Xq28	y	n	T cell prolymphocytic leukaemia			L	Dom	oncogene, fusion	T	TRA	n		1	MTCP1,ENSG00000214827.5,P56278,4515,P13MTCP1,p8MTCP1
